article_index,section_name,group_name,item_name,item_chips,item_desc,item_stats,image_index,image_role,phase_index,phase_label,image_alt,image_title,image_path,image_url,duplicate_index,local_path,download_status
1,变异宝典,,月华,产出|月华宝荷,种植琉璃宝荷有概率出现,,1,effect_icon,,,月华,,extraRes/gui/texture/mutant/icon/moon.png,https://jsq.gptvip.chat/images/extraRes/gui/texture/mutant/icon/moon.png,1,变异宝典/月华/月华_00_变异图标.png,downloaded
2,变异宝典,,荷华,产出|荷花,种植荷风游记稀有种子有概率出现,,1,effect_icon,,,荷华,,extraRes/gui/texture/mutant/icon/lotus.png,https://jsq.gptvip.chat/images/extraRes/gui/texture/mutant/icon/lotus.png,1,变异宝典/荷华/荷华_00_变异图标.png,downloaded
3,变异宝典,,绵绵,产出|绵绵糖果,种植欢乐糖果有概率出现,,1,effect_icon,,,绵绵,,extraRes/gui/texture/mutant/icon/mian.png,https://jsq.gptvip.chat/images/extraRes/gui/texture/mutant/icon/mian.png,1,变异宝典/绵绵/绵绵_00_变异图标.png,downloaded
4,变异宝典,,哈哈,产出|哈哈小南瓜,种植本期活动稀有种子有概率出现,,1,effect_icon,,,哈哈,,extraRes/gui/texture/mutant/icon/haha.png,https://jsq.gptvip.chat/images/extraRes/gui/texture/mutant/icon/haha.png,1,变异宝典/哈哈/哈哈_00_变异图标.png,downloaded
5,变异宝典,,塔塔,产出|哈哈南瓜塔,种植哈哈南瓜有概率出现,,1,effect_icon,,,塔塔,,extraRes/gui/texture/mutant/icon/tata.png,https://jsq.gptvip.chat/images/extraRes/gui/texture/mutant/icon/tata.png,1,变异宝典/塔塔/塔塔_00_变异图标.png,downloaded
6,变异宝典,,黄金,产出|黄金果实,稀有作物生长过程中随机出现,,1,effect_icon,,,黄金,,extraRes/gui/texture/mutant/icon/golden.png,https://jsq.gptvip.chat/images/extraRes/gui/texture/mutant/icon/golden.png,1,变异宝典/黄金/黄金_00_变异图标.png,downloaded
7,变异宝典,,冰冻,售价|×3倍,作物生长过程中随机出现,,1,effect_icon,,,冰冻,,extraRes/gui/texture/mutant/icon/frozen.png,https://jsq.gptvip.chat/images/extraRes/gui/texture/mutant/icon/frozen.png,1,变异宝典/冰冻/冰冻_00_变异图标.png,downloaded
8,变异宝典,,爱心,数量|×3倍,作物生长过程中随机出现,,1,effect_icon,,,爱心,,extraRes/gui/texture/mutant/icon/love.png,https://jsq.gptvip.chat/images/extraRes/gui/texture/mutant/icon/love.png,1,变异宝典/爱心/爱心_00_变异图标.png,downloaded
9,变异宝典,,暗化,售价|×2倍,作物生长过程中随机出现,,1,effect_icon,,,暗化,,extraRes/gui/texture/mutant/icon/dark.png,https://jsq.gptvip.chat/images/extraRes/gui/texture/mutant/icon/dark.png,1,变异宝典/暗化/暗化_00_变异图标.png,downloaded
10,变异宝典,,湿润,数量|×2倍,作物生长过程中随机出现,,1,effect_icon,,,湿润,,extraRes/gui/texture/mutant/icon/moist.png,https://jsq.gptvip.chat/images/extraRes/gui/texture/mutant/icon/moist.png,1,变异宝典/湿润/湿润_00_变异图标.png,downloaded
