name,seed_id,crop_id,fruit_id,fruit_count,level,asset_name,rarity,image_role,phase_index,phase_name,image_path,image_url,local_path,phase_slot,seconds
哈哈南瓜,20416,1020416,49002,10,200,Crop_416,4,thumb,0,作物图,plant/model/v4/Crop_416_6.png,https://jsq.gptvip.chat/images/plant/model/v4/Crop_416_6.png,哈哈南瓜/哈哈南瓜_00_作物图.png,,
哈哈南瓜,20416,1020416,49002,10,200,Crop_416,4,phase,1,种子,plant/model/v4/Crop_1_1.png,https://jsq.gptvip.chat/images/plant/model/v4/Crop_1_1.png,哈哈南瓜/哈哈南瓜_01_种子.png,Seed,17280
哈哈南瓜,20416,1020416,49002,10,200,Crop_416,4,phase,2,发芽,plant/model/v4/Crop_416_2.png,https://jsq.gptvip.chat/images/plant/model/v4/Crop_416_2.png,哈哈南瓜/哈哈南瓜_02_发芽.png,2,17280
哈哈南瓜,20416,1020416,49002,10,200,Crop_416,4,phase,3,小叶子,plant/model/v4/Crop_416_3.png,https://jsq.gptvip.chat/images/plant/model/v4/Crop_416_3.png,哈哈南瓜/哈哈南瓜_03_小叶子.png,3,17280
哈哈南瓜,20416,1020416,49002,10,200,Crop_416,4,phase,4,大叶子,plant/model/v4/Crop_416_4.png,https://jsq.gptvip.chat/images/plant/model/v4/Crop_416_4.png,哈哈南瓜/哈哈南瓜_04_大叶子.png,4,17280
哈哈南瓜,20416,1020416,49002,10,200,Crop_416,4,phase,5,开花,plant/model/v4/Crop_416_5.png,https://jsq.gptvip.chat/images/plant/model/v4/Crop_416_5.png,哈哈南瓜/哈哈南瓜_05_开花.png,5,17280
哈哈南瓜,20416,1020416,49002,10,200,Crop_416,4,phase,6,成熟,plant/model/v4/Crop_416_6.png,https://jsq.gptvip.chat/images/plant/model/v4/Crop_416_6.png,哈哈南瓜/哈哈南瓜_06_成熟.png,6,0
爱心果,20046,1020046,40046,96,200,Crop_46,4,thumb,0,作物图,plant/model/v4/Crop_46_6.png,https://jsq.gptvip.chat/images/plant/model/v4/Crop_46_6.png,爱心果/爱心果_00_作物图.png,,
爱心果,20046,1020046,40046,96,200,Crop_46,4,phase,1,种子,plant/model/v4/Crop_1_1.png,https://jsq.gptvip.chat/images/plant/model/v4/Crop_1_1.png,爱心果/爱心果_01_种子.png,Seed,4800
爱心果,20046,1020046,40046,96,200,Crop_46,4,phase,2,发芽,plant/model/v4/Crop_46_2.png,https://jsq.gptvip.chat/images/plant/model/v4/Crop_46_2.png,爱心果/爱心果_02_发芽.png,2,4800
爱心果,20046,1020046,40046,96,200,Crop_46,4,phase,3,小叶子,plant/model/v4/Crop_46_3.png,https://jsq.gptvip.chat/images/plant/model/v4/Crop_46_3.png,爱心果/爱心果_03_小叶子.png,3,4800
爱心果,20046,1020046,40046,96,200,Crop_46,4,phase,4,大叶子,plant/model/v4/Crop_46_4.png,https://jsq.gptvip.chat/images/plant/model/v4/Crop_46_4.png,爱心果/爱心果_04_大叶子.png,4,7200
爱心果,20046,1020046,40046,96,200,Crop_46,4,phase,5,初熟,plant/model/v4/Crop_46_5.png,https://jsq.gptvip.chat/images/plant/model/v4/Crop_46_5.png,爱心果/爱心果_05_初熟.png,5,7200
爱心果,20046,1020046,40046,96,200,Crop_46,4,phase,6,成熟,plant/model/v4/Crop_46_6.png,https://jsq.gptvip.chat/images/plant/model/v4/Crop_46_6.png,爱心果/爱心果_06_成熟.png,6,0
琉璃宝荷,21032,1021032,41032,192,200,Crop_1032,4,thumb,0,作物图,plant/model/v4/Crop_1032_6.png,https://jsq.gptvip.chat/images/plant/model/v4/Crop_1032_6.png,琉璃宝荷/琉璃宝荷_00_作物图.png,,
