level,name,seed_id,crop_id,asset_name,rarity,seasons,land_level_need,exp,fruit_id,fruit_count,phase_count,phase_names,thumb,grow_phases
1,白萝卜,20002,1020002,Crop_2,1,1,1,1,40002,5,3,种子|发芽|成熟,plant_Crop_2_Seed.png,种子:30;发芽:30;成熟:0;
2,胡萝卜,20003,1020003,Crop_3,1,1,1,2,40003,10,5,种子|发芽|小叶子|大叶子|成熟,plant/model/v4/Crop_3_Seed.png,种子:30;发芽:30;小叶子:30;大叶子:30;成熟:0;
3,大白菜,20059,1020059,Crop_59,1,1,1,5,40059,20,6,种子|发芽|幼苗|成株|卷心|成熟,plant/model/v4/Crop_59_Seed.png,种子:60;发芽:60;幼苗:60;成株:60;卷心:60;成熟:0;
4,大蒜,20065,1020065,Crop_65,1,1,1,10,40065,20,6,种子|发芽|幼苗|伸长|初熟|成熟,plant/model/v4/Crop_65_Seed.png,种子:120;发芽:120;幼苗:120;伸长:120;初熟:120;成熟:0;
5,大葱,20064,1020064,Crop_64,1,1,1,20,40064,30,5,种子|发芽|小叶子|大叶子|成熟,plant/model/v4/Crop_64_Seed.png,种子:300;发芽:300;小叶子:300;大叶子:300;成熟:0;
6,水稻,20060,1020060,Crop_60,1,1,1,41,40060,30,6,种子|幼苗|秧苗|幼穗|开花|成熟,plant/model/v4/Crop_60_Seed.png,种子:480;幼苗:480;秧苗:480;幼穗:480;开花:480;成熟:0;
7,小麦,20061,1020061,Crop_61,1,1,1,62,40061,40,6,种子|发芽|小叶子|大叶子|幼穗|成熟,plant/model/v4/Crop_61_Seed.png,种子:720;发芽:720;小叶子:720;大叶子:720;幼穗:720;成熟:0;
8,玉米,20004,1020004,Crop_4,1,1,1,82,40004,40,6,种子|发芽|小叶子|大叶子|开花|成熟,plant/model/v4/Crop_4_Seed.png,种子:960;发芽:960;小叶子:960;大叶子:960;开花:960;成熟:0;
9,鲜姜,20066,1020066,Crop_66,1,1,1,106,40066,60,5,种子|发芽|小叶子|大叶子|成熟,plant/model/v4/Crop_66_Seed.png,种子:1500;发芽:1500;小叶子:1500;大叶子:1500;成熟:0;
10,土豆,20005,1020005,Crop_5,1,1,1,128,40005,60,6,种子|发芽|小叶子|大叶子|初熟|成熟,plant/model/v4/Crop_5_Seed.png,种子:1440;发芽:1440;小叶子:1440;大叶子:1440;初熟:1440;成熟:0;
11,小白菜,20071,1020071,Crop_71,1,1,1,160,40071,80,5,种子|发芽|小叶子|大叶子|成熟,plant/model/v4/Crop_71_Seed.png,种子:2250;发芽:2250;小叶子:2250;大叶子:2250;成熟:0;
12,生菜,20096,1020096,Crop_96,1,1,1,192,40096,80,6,种子|发芽|小叶子|大叶子|初熟|成熟,plant/model/v4/Crop_96_Seed.png,种子:2160;发芽:2160;小叶子:2160;大叶子:2160;初熟:2160;成熟:0;
13,油菜,20099,1020099,Crop_99,1,1,1,272,40099,200,5,种子|发芽|小叶子|大叶子|成熟,plant/model/v4/Crop_99_Seed.png,种子:3600;发芽:3600;小叶子:3600;大叶子:3600;成熟:0;
14,茄子,20006,1020006,Crop_6,1,1,1,544,40006,200,6,种子|发芽|小叶子|大叶子|开花|成熟,plant/model/v4/Crop_6_Seed.png,种子:5760;发芽:5760;小叶子:5760;大叶子:5760;开花:5760;成熟:0;
15,红枣,20051,1020051,Crop_51,1,1,1,816,40051,200,6,种子|发芽|小叶子|大叶子|开花|成熟,plant/model/v4/Crop_51_Seed.png,种子:8640;发芽:8640;小叶子:8640;大叶子:8640;开花:8640;成熟:0;
16,蒲公英,20120,1020120,Crop_120,1,1,1,1632,40120,200,6,种子|小叶子|大叶子|花蕾|盛开|成熟,plant/model/v4/Crop_120_Seed.png,种子:17280;小叶子:17280;大叶子:17280;花蕾:17280;盛开:17280;成熟:0;
17,银莲花,20259,1020259,Crop_259,1,1,1,288,40259,200,6,种子|发芽|小叶|大叶|花蕾|开花,plant/model/v4/Crop_259_Seed.png,种子:2880;发芽:2880;小叶:2880;大叶:2880;花蕾:2880;开花:0;
18,番茄,20007,1020007,Crop_7,1,1,1,576,40007,200,6,种子|发芽|小叶子|大叶子|开花|成熟,plant/model/v4/Crop_7_Seed.png,种子:5760;发芽:5760;小叶子:5760;大叶子:5760;开花:5760;成熟:0;
19,花菜,20098,1020098,Crop_98,1,1,1,864,40098,200,6,种子|发芽|幼苗|卷心|初熟|成熟,plant/model/v4/Crop_98_Seed.png,种子:8640;发芽:8640;幼苗:8640;卷心:8640;初熟:8640;成熟:0;
20,韭菜,20305,1020305,Crop_305,1,1,1,1728,40305,200,6,种子|发芽|小叶子|大叶子|初熟|成熟,plant/model/v4/Crop_305_Seed.png,种子:17280;发芽:17280;小叶子:17280;大叶子:17280;初熟:17280;成熟:0;
21,小雏菊,20105,1020105,Crop_105,1,1,1,304,40105,200,6,种子|发芽|小叶子|大叶子|初熟|成熟,plant/model/v4/Crop_105_Seed.png,种子:2880;发芽:2880;小叶子:2880;大叶子:2880;初熟:2880;成熟:0;
21,卡特兰,20184,1020184,Crop_184,2,1,1,1440,40184,48,6,种子|发芽|小叶|大叶|花蕾|开花,plant/model/v4/Crop_184_Seed.png,种子:8640;发芽:8640;小叶:8640;大叶:8640;花蕾:8640;开花:0;
21,红云飞片,20193,1020193,Crop_193,2,1,1,1440,40193,48,6,种子|发芽|小叶|大叶|花蕾|开花,plant/model/v4/Crop_193_Seed.png,种子:8640;发芽:8640;小叶:8640;大叶:8640;花蕾:8640;开花:0;
21,石竹花,20256,1020256,Crop_256,2,1,1,1440,40256,48,6,种子|发芽|小叶|大叶|花蕾|开花,plant/model/v4/Crop_256_Seed.png,种子:8640;发芽:8640;小叶:8640;大叶:8640;花蕾:8640;开花:0;
21,针垫花,20261,1020261,Crop_261,2,1,1,1440,40261,48,6,种子|发芽|小叶|大叶|花蕾|开花,plant/model/v4/Crop_261_Seed.png,种子:8640;发芽:8640;小叶:8640;大叶:8640;花蕾:8640;开花:0;
